,word,freq,embed_pca_x,embed_pca_y,embed_tsne_x,embed_tsne_y
134,M340,27,-1.1713599852349796,-1.8726821076036382,32.09822463989258,-22.8210391998291
135,M301,26,-0.31943999189750866,-1.1630981596839685,34.532291412353516,-13.772980690002441
136,M295,10,-0.2912751003595778,-1.0347709255785222,30.101594924926758,-8.823067665100098
138,M302,1,0.10481198488457619,0.7531570655093738,-30.815032958984375,6.394897937774658
139,M032,121,-0.5608697829493448,-0.35641235996348175,24.500600814819336,-15.741109848022461
145,M047,9,0.08308050156332486,-0.9149607287807571,25.208389282226562,-6.288965702056885
146,M033,38,-1.0490229980793688,-1.4728051063646936,30.803483963012695,-13.386469841003418
147,M136,13,-0.7659218836081108,-1.3368982502004858,21.665849685668945,-25.491905212402344
150,M304,50,-1.7359218658133249,-1.1457174057582356,16.323665618896484,-31.80154800415039
161,M373,63,-2.1927941213603392,1.1037951466712304,-7.9155426025390625,-38.324459075927734
164,M462,3,0.6815990625246597,0.17028937364236507,3.8195555210113525,33.284976959228516
166,M217,29,-0.708802278648274,-1.6551687178258183,33.190338134765625,-21.055370330810547
169,M230,14,-0.6478977550753732,-1.085889888163472,29.44198226928711,-12.692840576171875
174,M325,29,-1.9530465168752587,-0.8814190829309895,13.524659156799316,-33.705177307128906
177,M314,36,0.023502346484647597,-1.121824230013992,37.073482513427734,-13.696640014648438
178,M128,19,-0.37937473477040806,-1.1646287016458081,35.38325119018555,-14.226692199707031
181,M503,2,0.11175929483325084,0.17800302114576227,7.03488302230835,3.383561134338379
182,M315,14,-0.26537129169612445,-0.8242217778592512,35.83058547973633,-11.590008735656738
183,M365,52,-1.9884577250997961,-0.5754891097256973,9.667304039001465,-33.16554260253906
189,M263,174,-1.2122061813275677,-0.03620014418138587,26.42815589904785,-15.63308048248291
190,M329,38,-0.8816935616277463,-1.2439878640899131,28.83240509033203,-14.423213005065918
200,M347,84,0.1026366557537568,-1.1029140105684754,40.29283905029297,-14.921422004699707
211,M153,56,-1.370883160734894,-1.4342067254100082,19.239309310913086,-25.414587020874023
214,M122,23,-1.7790868643552207,-1.6436780317464827,14.92558479309082,-33.14250946044922
220,M125,17,-0.9906208239140302,-1.777366794855985,29.33673095703125,-25.5892333984375
223,M006,47,-2.3957459103168866,-0.6191935234523445,11.825508117675781,-36.2004508972168
224,M057,95,-0.9015582858685789,-1.029115230161882,28.05108070373535,-13.853894233703613
235,M061,10,-1.694701250358355,-0.7582580034400115,12.982230186462402,-32.13595962524414
236,M504,2,0.15016281507916796,0.32567669117509435,-16.576107025146484,-0.7831736207008362
238,M292,16,-0.8959279858427505,-1.0892227386626878,18.8514461517334,-26.072879791259766
241,M269,12,-2.3740235683622424,1.3828111135949295,-5.736929893493652,-38.86583709716797
243,M319,15,-0.7602044903715339,-1.7456403768265742,24.661775588989258,-24.289386749267578
260,M386,5,0.45687648788823826,-0.5648494844007487,31.277774810791016,7.253167152404785
