,word,freq,embed_pca_x,embed_pca_y,embed_tsne_x,embed_tsne_y
448,M295~KA,0,0.33283008135569675,-0.5450871993691422,7.070079803466797,27.82206153869629
449,M243~B,0,-0.47902097022141205,-0.04271883251737556,14.47714900970459,-6.060422897338867
450,|M218~D+M288|,0,-0.37738719423144984,-0.7542826308050422,20.993728637695312,7.657565116882324
451,M206~G,0,-2.8878630127871756,0.4988742404521993,31.981203079223633,-29.835508346557617
452,|M175+M377+M377|,1,0.37083685344026207,-0.07677027733598382,-4.851687431335449,27.41820526123047
453,M024~1,10,-0.26038229021569476,-1.0050180262156028,26.802600860595703,19.96344566345215
454,M369,15,-1.353366456859556,-0.3031706144958861,31.463632583618164,-13.733541488647461
455,M263~A1,0,0.030094450157367298,0.6547182096286759,-22.579627990722656,-25.69481658935547
456,M146,41,-0.7694413899283599,-1.874469326054798,38.95530319213867,19.59773826599121
457,M379~C,0,-0.04080324290048162,-0.5127446213841166,11.514877319335938,-2.2626290321350098
458,M136~A,0,-0.7962101521798525,-0.07870098398840901,22.47197151184082,-13.770084381103516
459,M270~M,0,0.1824024297477822,0.12612502919501653,-10.013598442077637,-2.2215521335601807
460,M209~C,0,-0.5208061386135303,0.5932080371425434,18.21772575378418,-23.13791847229004
461,M006@G~1,0,-0.2934819994063902,0.18781439580740814,2.829149007797241,-14.202247619628906
462,M136~P,0,-0.5244574539907033,-0.15535462010269954,24.190711975097656,-2.5409483909606934
463,M054~A,0,0.41600401706432877,-0.02093312885749516,1.442626714706421,31.978574752807617
464,M293~D,0,-0.3247203841184541,0.32878823553948366,15.216360092163086,-18.870752334594727
465,M136~I,0,-1.7209597718104073,-0.4982234473615204,36.92134094238281,-11.845664024353027
466,M242~AB,0,0.6717257852772477,-1.2604100004222982,29.923076629638672,25.499267578125
467,M461,2,0.2522574946016265,-0.5110337704482475,11.595285415649414,25.927431106567383
468,M265~E,0,0.006741731448143504,0.10924427032595893,-6.433224201202393,-5.996665954589844
469,M244,6,-1.1212404461366892,-0.341423697796713,24.219697952270508,-13.049954414367676
470,M250~BA,0,0.5448109907750415,-0.8998333038402558,33.48164749145508,23.933244705200195
471,|M362+M059~D|,0,-0.4850684956219771,-0.3772080235958658,16.54771614074707,-8.20419979095459
472,M035,11,0.5502461980366595,-0.6537220399773338,8.682075500488281,29.95709800720215
473,M140~A,0,0.28402286152117445,-0.40168975795737516,12.50214672088623,19.490310668945312
474,M129,3,0.08710223265688012,-0.14161772638003242,8.43291187286377,0.3588460683822632
475,M321~F,0,-0.358596840258098,1.0020678938088001,-4.804930686950684,-37.29886245727539
476,M112,7,-0.5676452972310162,-0.18130396358302722,19.365623474121094,-3.542433738708496
477,M106~A,0,-2.0906214988802327,-1.8477171623758961,40.803470611572266,-8.025131225585938
478,M269~2,11,-1.9133746748287392,-0.7703027977736767,36.607906341552734,-11.174072265625
479,M327,31,-2.4364953755012313,-0.26301617958065676,31.321903228759766,-23.600566864013672
480,M393~FA,0,0.4441775310702598,-0.24422157328127034,5.000965595245361,17.54929542541504
481,M110~A,0,-0.014397378841637932,-0.905718783103386,27.011478424072266,21.830535888671875
482,M266~F,0,0.2487733319850506,-0.3851897506770445,9.921968460083008,23.43600082397461
483,|M217+M388|,13,-1.4870410983442022,1.7637245891607742,23.63641929626465,-34.849945068359375
484,M260~B,0,0.0599231585605409,0.972112879018118,-14.667801856994629,-37.43600845336914
485,M128~D,0,0.0016001400452074143,-0.6679428506110561,26.45142364501953,22.41682243347168
486,|M327+M074~A|,0,0.29449793260714674,0.18749666814343624,-11.236310958862305,15.29767894744873
487,M193,7,-0.4827411888630996,0.23565395159393662,9.22779369354248,-24.977087020874023
488,M455,1,0.5489610818295205,0.019368760114271754,-13.97241497039795,28.497703552246094
489,|M387~CA+M340+M387~CA|,0,0.05800908618445716,0.31028766381107836,-2.756194829940796,-18.097713470458984
490,|M343~H+N30C|,0,0.11668952451662135,0.12736997325937727,0.09534458070993423,-7.422244071960449
491,|M157~A+M131|,0,-0.04237904129541001,-0.3635117996981204,14.85983943939209,-3.3983848094940186
492,M090,2,0.3435143720957657,-0.4246378287979852,4.7473297119140625,25.7913761138916
493,|M157+M136|,2,-0.4308545509735188,0.720096175241308,12.573143005371094,-30.1502685546875
494,|M305+X|,23,-1.0451604266410885,-2.1713904614416673,39.733604431152344,6.83191442489624
495,N30C@B,0,6.6915136785380795,-0.8783712006938529,-40.62337112426758,4.090252876281738
496,M210~F,0,-0.17413209294595908,-0.16157159315185604,16.13947868347168,4.068597316741943
497,M075~M,0,-0.03212513981556615,-0.22148651837451175,-32.90652084350586,-11.839988708496094
498,M105~AB,0,-0.2548310035789887,0.05823068468438905,11.124831199645996,-15.830281257629395
499,M367~B,0,0.07751044465075806,0.19057680184625803,-6.013936519622803,-10.537454605102539
500,M266~B,0,-0.44940451504709045,-0.7590717343037972,27.087223052978516,8.053356170654297
501,M263~E,0,-1.30237949276532,1.4322551214477388,22.93772315979004,-33.8657112121582
502,M188~E,0,-0.6196758090011517,-0.23840471705448613,22.510108947753906,-5.380448818206787
503,M041~F,0,-0.09167164195436876,0.6554323409070059,-6.586819648742676,-29.37730598449707
504,|M351+N01,0,-1.0489308725276352,0.6963565620402045,22.27483558654785,-26.89967918395996
505,N01|,0,1.429465508221707,0.07306734774728155,-13.597100257873535,37.99155044555664
506,|M157+M153|,3,-0.312517259221703,-0.640164492893153,18.168176651000977,14.435253143310547
507,M332,4,0.08162543218504739,-0.3540726232715394,12.057435035705566,16.344369888305664
508,M221,12,-0.48790407044009343,-0.5367882843345055,27.901308059692383,8.679079055786133
509,|M175+M136|,9,-1.0396642250485213,-1.4319716559884723,38.248844146728516,9.538307189941406
510,M059~G,0,-0.07269457444758819,0.45790308379421346,-10.2313232421875,-22.566354751586914
511,M208,9,-1.5473062973161218,-0.28943926292447153,33.42144012451172,-12.170732498168945
512,|M036+N39B|,0,0.16650087904202654,-0.23319030901255902,-3.4357571601867676,9.692192077636719
513,M417~H,0,-0.938231848262809,0.3041998228362831,22.233877182006836,-21.341768264770508
514,M251~M,0,0.5482455401866096,0.039391654543848596,-16.271364212036133,19.844131469726562
515,M048~I,0,-0.016673278790797486,-0.7670964968783749,16.965702056884766,19.89036750793457
516,|M157~A+M066|,0,0.21371286564345904,0.5166753723126205,-15.044471740722656,-14.309433937072754
