,word,freq,x,y
6,M346,249,25.138498306274414,36.77846145629883
7,M297,265,6.796891689300537,29.45598793029785
8,M009,223,2.023521661758423,31.628381729125977
9,M371,308,-11.840798377990723,45.348636627197266
10,M219,88,-9.914613723754883,42.23750305175781
13,M387,249,-3.2772395610809326,36.09214401245117
16,M004,115,-7.447226524353027,44.07436752319336
17,M218,525,-12.0162935256958,45.179683685302734
18,M288,829,22.676185607910156,38.12898635864258
21,M210,9,16.217952728271484,25.845632553100586
23,M259,69,-6.7884135246276855,44.01093292236328
26,M096,212,-11.655898094177246,45.490352630615234
27,M054,258,6.343349456787109,26.174699783325195
31,M139,38,0.7798189520835876,41.703033447265625
32,M388,620,-5.224151611328125,42.423744201660156
38,M377,55,-1.8184609413146973,42.468448638916016
39,M251,5,22.118139266967773,-11.099549293518066
45,M320,49,1.109176516532898,30.393709182739258
47,M240,49,-8.463536262512207,43.50274658203125
49,M354,112,23.03573989868164,37.43781280517578
53,M106,34,24.60468292236328,31.16158676147461
59,M066,243,-11.225713729858398,44.95397186279297
66,M157,234,40.351070404052734,16.05778694152832
67,M124,294,0.33889731764793396,44.181331634521484
69,M376,212,25.45897102355957,36.77783966064453
70,M072,95,36.1915283203125,7.276882171630859
75,M144,12,-4.883544921875,29.421545028686523
81,M260,39,38.9273681640625,15.03799057006836
84,M101,52,-1.6356719732284546,32.83708953857422
85,M247,3,25.67871856689453,7.703032970428467
93,M141,4,-24.014131546020508,22.326705932617188
95,M305,127,12.208391189575195,34.4678840637207
97,M291,16,2.660099983215332,40.5400276184082
98,M036,128,22.136831283569336,35.732627868652344
101,M086,5,25.250503540039062,-9.05729866027832
102,M002,38,23.291908264160156,36.312679290771484
103,M372,33,0.12117451429367065,30.727190017700195
107,M059,68,23.074512481689453,31.13328742980957
112,M471,1,23.302501678466797,-27.997779846191406
114,M370,119,2.862567186355591,42.56209945678711
115,M041,17,11.836322784423828,33.441200256347656
116,M367,98,24.083568572998047,36.364952087402344
118,M081,41,13.84022331237793,36.78769302368164
119,M001,141,6.211913108825684,26.526296615600586
122,M317,49,3.7454023361206055,29.24823570251465
134,M340,27,3.2697486877441406,41.19549560546875
135,M301,26,-6.024953842163086,38.89130783081055
136,M295,10,-8.221320152282715,32.324989318847656
138,M302,1,9.686159133911133,-30.508390426635742
139,M032,121,0.8412717580795288,30.731338500976562
145,M047,9,-8.268985748291016,26.506282806396484
146,M033,38,-4.50595235824585,35.32008743286133
147,M136,13,10.868024826049805,33.01351547241211
150,M304,50,19.341224670410156,31.36168098449707
161,M373,63,38.126068115234375,13.18065357208252
164,M462,3,-33.01024627685547,-11.837432861328125
166,M217,29,1.1438907384872437,41.2946662902832
169,M230,14,-4.472711563110352,33.692413330078125
174,M325,29,22.454626083374023,29.805646896362305
177,M314,36,-7.3751935958862305,41.10842514038086
178,M128,19,-6.108736038208008,39.94734573364258
181,M503,2,-6.5723958015441895,5.273504734039307
182,M315,14,-8.675579071044922,38.90978240966797
183,M365,52,23.85970115661621,25.944549560546875
189,M263,174,-0.2350151240825653,32.42649841308594
190,M329,38,-2.577193021774292,34.000675201416016
200,M347,84,-7.8292365074157715,44.67521286010742
211,M153,56,12.316697120666504,30.887435913085938
214,M122,23,21.219764709472656,30.79641342163086
220,M125,17,7.115291118621826,40.11188507080078
223,M006,47,25.479795455932617,29.36835289001465
224,M057,95,-2.713934898376465,32.98326873779297
235,M061,10,21.273637771606445,28.508752822875977
236,M504,2,8.5455961227417,-14.022772789001465
238,M292,16,13.090072631835938,30.829938888549805
241,M269,12,37.408531188964844,15.403018951416016
243,M319,15,8.31446647644043,35.17148208618164
260,M386,5,-23.641077041625977,24.351646423339844
261,M309,7,11.729148864746094,11.703629493713379
263,M470,2,-8.320322036743164,10.209477424621582
264,M262,40,-3.7259154319763184,37.15011978149414
265,M380,30,-5.579743385314941,38.7142448425293
278,M383,9,19.234233856201172,29.286174774169922
279,M046,36,38.414215087890625,13.924195289611816
280,M005,18,36.867801666259766,13.598261833190918
282,M099,39,-8.714868545532227,42.76887893676758
283,M390,34,-8.22470760345459,41.77532958984375
286,M310,11,-9.162945747375488,20.405994415283203
287,M384,10,10.184632301330566,33.93220520019531
289,M201,2,7.009824275970459,-11.909405708312988
290,M311,2,-21.456592559814453,16.533079147338867
295,M286,17,14.849771499633789,34.17531204223633
297,M501,1,-31.917329788208008,-10.381614685058594
313,M348,45,3.7218892574310303,28.36818504333496
314,M104,4,-12.403529167175293,23.39751434326172
316,M037,6,-35.75251388549805,2.7426917552948
334,M145,20,21.67239761352539,25.380022048950195
341,M175,34,14.07612133026123,34.21976852416992
344,M375,2,-37.68326187133789,3.5709071159362793
356,M223,30,-0.24027027189731598,30.54314613342285
370,M220,20,1.0041347742080688,27.87353515625
376,M207,12,14.133193016052246,29.55972671508789
383,M323,10,15.044751167297363,30.11532211303711
385,M246,7,2.1199989318847656,18.567142486572266
387,M064,4,-17.2631778717041,-12.60197925567627
391,M195,20,20.93230438232422,30.147676467895508
392,M285,1,16.604673385620117,-32.17210006713867
406,M391,34,24.411840438842773,29.85675621032715
411,M110,11,-12.303326606750488,35.19481658935547
419,M453,1,-5.273577690124512,-14.539094924926758
422,M296,32,3.5472586154937744,27.910274505615234
425,M205,2,19.841379165649414,-1.0357316732406616
447,M381,14,-2.1957945823669434,26.832117080688477
454,M369,15,23.912832260131836,21.9969425201416
456,M146,41,-2.8208632469177246,43.28526306152344
467,M461,2,-20.175825119018555,21.06038475036621
469,M244,6,20.3629207611084,15.881053924560547
472,M035,11,-25.07686996459961,20.0970516204834
474,M129,3,1.9138628244400024,5.871496677398682
476,M112,7,9.645108222961426,15.214471817016602
479,M327,31,32.89590072631836,18.310758590698242
487,M193,7,23.77597427368164,-1.3650822639465332
488,M455,1,-32.94566345214844,-1.9507454633712769
492,M090,2,-23.070518493652344,14.748204231262207
508,M221,12,2.216402292251587,28.497968673706055
511,M208,9,23.32004737854004,24.396827697753906
521,M147,15,-1.7790497541427612,39.383907318115234
529,M131,22,-6.8135833740234375,36.77263259887695
543,M222,12,-6.193175792694092,32.728816986083984
544,M010,13,19.80137825012207,25.72883415222168
552,M109,18,-9.685534477233887,36.882694244384766
565,M024,46,-3.477156162261963,41.990760803222656
566,M482,4,18.368743896484375,17.630369186401367
582,M142,2,27.094247817993164,-28.00771713256836
583,M103,9,4.623555660247803,36.16251754760742
590,M243,7,33.95252990722656,12.583024978637695
607,M224,5,-20.138681411743164,15.926621437072754
614,M012,4,36.41012191772461,4.106410980224609
619,M143,7,11.337308883666992,17.738168716430664
624,M177,2,4.084845542907715,1.4625333547592163
631,M120,1,-25.428205490112305,21.216968536376953
637,M272,1,-41.553035736083984,-5.4083170890808105
640,M356,7,-6.529455184936523,27.828882217407227
643,M318,9,-15.442907333374023,28.93599510192871
645,M213,2,-37.85100555419922,4.993034362792969
649,M362,33,17.58896255493164,22.697500228881836
655,M062,3,24.4744815826416,6.930215358734131
662,M011,4,-14.287874221801758,-1.2355997562408447
694,M447,1,0.8692460060119629,-7.418244361877441
703,M446,1,24.778371810913086,-20.774293899536133
707,M277,6,36.30607604980469,11.169833183288574
710,M265,10,34.566802978515625,17.238021850585938
711,M359,6,12.084182739257812,20.91593360900879
721,M058,9,-23.765165328979492,25.2274227142334
729,M017,2,-37.721282958984375,4.928229331970215
731,M135,3,35.205482482910156,2.73421573638916
739,M312,9,16.1422176361084,25.467060089111328
748,M003,12,32.136783599853516,16.562759399414062
758,M242,4,-27.018720626831055,22.066720962524414
766,M172,1,17.675321578979492,-28.6497802734375
772,M253,1,-22.659008026123047,-12.543831825256348
774,M252,3,-2.1743059158325195,18.24767303466797
777,M111,6,3.1658363342285156,36.03252029418945
778,M379,10,18.68874168395996,22.12725257873535
779,M401,1,15.658442497253418,-5.281602382659912
785,M357,4,-4.974845886230469,18.58066177368164
786,M089,3,-22.607786178588867,-5.774109840393066
796,M452,1,4.722827911376953,-18.328670501708984
797,M044,12,16.013042449951172,31.828569412231445
806,M358,1,8.650404930114746,-35.052677154541016
809,M105,6,29.865556716918945,16.37367820739746
833,M098,4,15.702433586120605,7.972360610961914
849,M015,2,-13.38332462310791,-5.834898948669434
853,M126,6,-16.607593536376953,14.914616584777832
854,M421,1,21.872886657714844,-25.304365158081055
860,M289,1,-14.523046493530273,-26.662960052490234
862,M115,1,-9.806059837341309,-11.376585006713867
874,M180,7,15.307147026062012,24.742496490478516
877,M424,1,-2.5161187648773193,-22.64114761352539
884,M056,11,22.36397933959961,26.319141387939453
886,M255,2,-4.385125160217285,18.37033462524414
889,M215,1,14.796314239501953,-3.639406681060791
917,M034,1,-27.347415924072266,-19.44084358215332
933,M382,2,6.100914001464844,13.914064407348633
937,M197,1,-25.806678771972656,2.0933327674865723
941,M411,1,4.812459468841553,-6.578901290893555
959,M444,1,23.354581832885742,-12.236137390136719
962,M479,2,1.8317509889602661,11.559257507324219
986,M270,1,-6.188998222351074,-1.396177053451538
987,M349,2,7.596921443939209,7.802679061889648
988,M150,1,-10.531853675842285,-13.096711158752441
1017,M249,1,-21.05841827392578,-9.35856819152832
1020,M298,7,12.076933860778809,21.52886199951172
1022,M134,3,33.72087097167969,-0.32850995659828186
1029,M228,3,18.721912384033203,-3.312174081802368
1032,M248,5,-15.601555824279785,28.928260803222656
1038,M282,2,-35.35072708129883,2.204676389694214
1049,M117,1,-12.829015731811523,3.203526496887207
1051,M290,2,-4.322826385498047,11.055943489074707
1072,M490,1,-33.87300109863281,4.47816801071167
1074,M158,6,13.203441619873047,18.477985382080078
1088,M321,6,34.815399169921875,9.29800033569336
1090,M342,6,-12.179884910583496,21.956119537353516
1106,M018,1,20.6333065032959,-14.210113525390625
1121,M114,1,-3.442737340927124,-4.5492777824401855
1122,M085,1,-29.688539505004883,-18.037673950195312
1146,M449,4,-9.59434700012207,23.180700302124023
1154,M093,1,-19.4089412689209,1.5584077835083008
1156,M025,3,-22.17180061340332,27.15416145324707
1159,M063,1,4.151093006134033,-22.58878517150879
1162,M152,3,-22.013713836669922,16.42649269104004
1165,M039,2,-18.450502395629883,15.599474906921387
1183,M227,1,-31.64466094970703,12.841605186462402
1185,M016,6,1.6267696619033813,8.41473388671875
1189,M468,1,-7.063706874847412,-14.835050582885742
1193,M343,1,-16.577844619750977,9.44433879852295
1195,M159,2,7.09759521484375,-4.630374431610107
1204,M176,6,26.93105697631836,26.389278411865234
1205,M084,1,-11.677638053894043,4.834292411804199
1218,M378,1,11.25739860534668,-27.283872604370117
1230,M402,1,-20.722270965576172,5.957416534423828
1273,M438,2,-2.38651967048645,-31.4867000579834
1278,M433,1,-23.23305892944336,9.768476486206055
1279,M492,2,-5.895106315612793,11.131159782409668
1288,M278,5,33.56661605834961,6.547454357147217
1309,M043,2,6.770971298217773,-22.856199264526367
1317,M029,2,32.775882720947266,-23.756168365478516
1335,M467,1,5.074684143066406,-12.288152694702148
1357,M165,1,5.358985900878906,-11.385871887207031
1366,M448,1,9.895798683166504,-23.247690200805664
1382,M489,2,-16.272573471069336,15.365730285644531
1387,M293,1,-3.6654176712036133,-25.986730575561523
1416,M155,1,2.2049813270568848,-1.7771179676055908
1426,M500,1,-27.11034393310547,5.936713218688965
1450,M486,1,-15.87268352508545,-1.349182367324829
1458,M469,1,26.437252044677734,-21.16252326965332
1471,M410,1,-30.64461326599121,-8.705646514892578
1473,M151,1,-13.47603702545166,9.688985824584961
1477,M324,2,-17.2523193359375,18.676809310913086
1503,M088,2,7.560104846954346,-34.24949645996094
1528,M412,1,-23.259546279907227,-14.556937217712402
1557,M351,2,-23.065719604492188,-1.438809871673584
1559,M465,1,-20.670001983642578,-1.8734325170516968
1561,M077,1,-28.969730377197266,-4.444876194000244
1575,M445,1,3.0844595432281494,-19.533727645874023
1583,M385,2,12.69119644165039,-22.00122833251953
1588,M283,1,28.423049926757812,-2.2456154823303223
1592,M454,1,3.437739372253418,0.5495404005050659
1600,M450,1,-1.2138592004776,-0.3104287385940552
1611,M441,1,23.58528709411621,-9.83535099029541
1629,M087,1,-25.987638473510742,-12.292210578918457
1634,M506,1,-12.407557487487793,-26.82823371887207
1645,M495,1,8.334251403808594,-20.28127098083496
1646,M496,1,-22.071548461914062,-22.90073013305664
1656,M254,1,-7.829772472381592,-30.82149314880371
1662,M173,1,-11.141860961914062,-19.159507751464844
1664,M466,1,-22.21976661682129,-22.935073852539062
1668,M431,1,-1.8496161699295044,-25.46674346923828
1669,M491,1,-21.943666458129883,-18.874141693115234
1671,M505,1,-11.467923164367676,-25.580366134643555
1680,M021,1,-1.7506706714630127,-19.407154083251953
