,word,freq,x,y
169,M230,14,-0.6478977550749615,-1.085889888203436
174,M325,29,-1.9530465168854243,-0.8814190829541872
177,M314,36,0.02350234648738869,-1.1218242299960588
178,M128,19,-0.3793747347801253,-1.1646287017542218
181,M503,2,0.11175929483242655,0.178003021134255
182,M315,14,-0.26537129169386237,-0.8242217778550471
183,M365,52,-1.9884577251024111,-0.5754891097698716
189,M263,174,-1.2122061813181684,-0.036200144053047785
190,M329,38,-0.8816935616354464,-1.2439878641304196
200,M347,84,0.10263665576014444,-1.1029140105311066
211,M153,56,-1.370883160731024,-1.434206725401096
214,M122,23,-1.7790868643555642,-1.6436780317733148
220,M125,17,-0.9906208239222954,-1.777366794941654
223,M006,47,-2.3957459103186487,-0.6191935234637661
224,M057,95,-0.9015582858711426,-1.0291152303076085
235,M061,10,-1.6947012503519874,-0.7582580034453227
236,M504,2,0.15016281507671142,0.3256766911683822
238,M292,16,-0.8959279858399434,-1.0892227386324322
241,M269,12,-2.3740235683606357,1.3828111135872867
243,M319,15,-0.7602044903720243,-1.7456403768296322
260,M386,5,0.4568764878944676,-0.5648494843748537
261,M309,7,-0.438893189533531,-0.3417733985724846
263,M470,2,0.08243947344069795,-0.3156643516424478
264,M262,40,-1.277804654386524,-1.481363687715202
265,M380,30,-0.4844762119007476,-1.5461948097436602
278,M383,9,-1.6726630237922278,-0.8825515644198929
279,M046,36,-2.8134599432730907,0.7478377279270633
280,M005,18,-2.164257739784031,1.009323560662758
282,M099,39,0.020571015872530234,-1.4982187767941064
283,M390,34,0.4966991877917293,-1.0425996733546419
286,M310,11,-0.34187845235140785,-0.6755195954074089
287,M384,10,-0.8902392609759583,-1.1903552737052594
289,M201,2,-0.048463014709821346,0.19041860322140647
290,M311,2,0.4755117303615086,-0.45233847652565057
295,M286,17,-1.6832417268903572,-1.4502726008230489
297,M501,1,0.7213148847030865,-0.013365010868256842
313,M348,45,-0.75470984400822,-0.7792434995875378
314,M104,4,-0.01798315333274877,-0.7400379395946294
316,M037,6,0.6484469769795157,-0.26773182398809825
334,M145,20,-1.3769302774654912,-0.67202047540037
341,M175,34,-1.1471058462664667,-1.7276178938008606
344,M375,2,0.5637611522571893,0.07442038379160121
356,M223,30,-0.9612856198497209,-0.5217040544905447
370,M220,20,-0.7460937336232059,-0.8825835485157595
376,M207,12,-0.9687653225940376,-0.7353861842545447
383,M323,10,-0.9963520465776972,-0.9062500026199138
385,M246,7,-0.35906521200056285,-0.489928512149531
387,M064,4,0.20167201358828313,-0.34534945179567295
391,M195,20,-1.556323197035661,-1.306392291812408
392,M285,1,0.033272759687748794,0.5025607492508939
406,M391,34,-2.540221109709891,-0.6197048926891117
411,M110,11,0.08653434341598859,-0.6393783567230202
419,M453,1,0.23986954195606472,0.09616726287028438
422,M296,32,-0.6630744404879328,-1.037369551730126
425,M205,2,-0.13957254221026977,0.16537459655841813
447,M381,14,-0.6954092980427521,-0.7874177365764932
